make,model,year,cluster_seed,count
BMW,M8,2024,competition,3
BMW,X5,2025,m60i,1
Land Rover,Defender,2025,hse,5
Land Rover,Defender,2025,oct,1
Lexus,LX 600,2022,vip,3
Mercedes-Benz,GLE 63 AMG,2022,gle,1
Mercedes-Benz,GLE 63 AMG,2022,amg,2
Mercedes-Benz,CLA 250,2022,cla,1
Mercedes-Benz,CLA 250,2022,amg,4
Mercedes-Benz,GLA 200,2021,200,2
Mercedes-Benz,GLA 200,2021,gla,2
BMW,M8,2021,competition,1
GMC,Yukon,2023,sle,9
GMC,Yukon,2023,xl,3
Isuzu,D-Max,2025,standard,1
Isuzu,D-Max,2025,max,29
Isuzu,D-Max,2025,cab,5
Isuzu,D-Max,2025,gt,4
Isuzu,D-Max,2025,mid,2
Toyota,Highlander,2022,xse,1
Toyota,Highlander,2022,xle,1
Bentley,Bentayga,2023,saudi,1
Bentley,Bentayga,2023,first,2
Bentley,Bentayga,2023,s,1
Lamborghini,Aventador,2014,lp700,1
Land Rover,Defender 110,2024,hse,3
Changan,CS35,2024,plus,1
Lamborghini,Aventador,2020,svj,4
Bentley,Bentayga,2021,speed,1
Mercedes-Benz,G 63 AMG,2022,amg,5
Mercedes-Benz,GLC 200,2023,glc,8
Mercedes-Benz,GLC 200,2023,cop,2
Mercedes-Benz,GLC 200,2023,bra,1
Mercedes-Benz,GLC 200,2023,amg,1
Mercedes-Benz,GLC 200,2023,kit,1
Audi,A8,2024,l,1
Jeep,Renegade,2024,sport,1
Kia,K8,2024,half,1
Kia,K8,2024,gls,3
Kia,K8,2024,top,2
Kia,K8,2024,mid,2
BMW,X7,2025,xdrive,2
Rox,01,2025,سعة,2
Rox,01,2025,vip,11
Rox,01,2025,اكتشف,1
Rox,01,2025,hybrid,1
Rox,01,2025,model,2
Cadillac,Escalade,2025,600,1
Lexus,LX 600,2024,fhd,2
Lexus,LX 600,2024,lsd,3
Lexus,LX 600,2024,ppf,1
Mercedes-Benz,Other,2020,amg,4
Mercedes-Benz,Other,2020,spe,1
Mercedes-Benz,C 200 Coupe,2025,amg,2
Mercedes-Benz,G Class,2024,two,2
Nissan,Patrol,2022,platinum,2
Nissan,Patrol,2022,esp,1
Nissan,Patrol,2022,سيارة,1
Toyota,Camry,2016,glx,5
Porsche,Panamera,2021,4,1
Bentley,Bentayga,2019,v12,1
Porsche,Carrera,2023,4s,1
Porsche,Carrera,2023,911,1
Porsche,Carrera,2023,gts,2
Mercedes-Benz,GLC 200,2022,glc,5
Mercedes-Benz,GLC 200,2022,amg,4
BMW,X2,2025,m,1
BMW,X2,2025,kit,2
BMW,X2,2025,model,1
Mercedes-Benz,GLS 450,2020,gls,1
Porsche,911,2023,gts,2
Mercedes-Benz,GLC 200,2020,glc,5
BMW,730,2020,kit,1
BMW,730,2020,li,1
Cadillac,Escalade,2023,600,1
Dodge,Ram,2022,trx,12
Dodge,Ram,2022,rebel,1
Infiniti,QX80,2023,pro,2
Changan,Uni-T,2024,uni,1
Honda,CR-V,2024,zrv,2
Honda,CR-V,2024,tft,1
Hyundai,Accent,2025,smart,2
Hyundai,Accent,2025,ivt,4
Hyundai,Elantra,2025,comfort,7
Hyundai,Elantra,2025,smart,10
Hyundai,Elantra,2025,esp,1
Hyundai,Elantra,2025,sea,1
Hyundai,Elantra,2025,gls,1
Kia,Seltos,2024,gls,10
Kia,Seltos,2024,mid,1
Kia,Seltos,2024,kgf,1
Nissan,Altima,2023,sv,1
Suzuki,Baleno,2025,gl,3
Suzuki,Baleno,2025,lcd,1
Suzuki,Baleno,2025,full,1
Toyota,Raize,2024,xle,15
Toyota,Raize,2024,g,2
Toyota,Raize,2024,limited,1
Toyota,Raize,2024,سيارة,2
Toyota,Raize,2024,1 2,1
Toyota,Raize,2024,xli,1
Isuzu,MU-X,2023,mux,1
Honda,Odyssey,2025,lx,1
Honda,Odyssey,2025,xl,2
Ford,Everest,2024,xlt,6
Ford,Everest,2024,ltd,2
Ford,Everest,2024,limited,1
Ford,Everest,2024,xls,2
BMW,M3,2021,competition,1
Jeep,Gladiator,2022,sand,1
Land Rover,Defender 110,2020,hse,2
Land Rover,Defender 110,2020,wit,1
Mercedes-Benz,S 580,2021,amg,1
Mercedes-Benz,S 580,2021,kit,1
Audi,Q8,2024,prestige,2
BMW,330,2024,kit,2
Land Rover,Range Rover Velar,2024,hse,4
Mercedes-Benz,GLC 300,2024,glc,9
Mercedes-Benz,GLC 300,2024,amg,1
Mercedes-Benz,GLC 300,2024,kit,1
Mercedes-Benz,GLC 300,2024,pkg,1
Changan,CS35 PLUS,2025,gdi,6
Chevrolet,Traverse,2023,ls,2
Renault,ARKANA,2025,smart,1
Renault,ARKANA,2025,premium,1
Maxus,T60,2023,pro,1
GMC,Sierra,2022,at4,3
GMC,Sierra,2022,hd,1
Lexus,ES 350,2024,eco,1
Mercedes-Benz,S 400,2016,eco,1
